id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index
3,1,line,0.4,0.05,quad,data/P3/quad/line/S0.05m0.4.png,,0.39,,,22
3,1,line,0.8,0.05,quad,data/P3/quad/line/S0.05m0.8.png,,0.77,,,23
3,-1,line,0.4,0.05,quad,data/P3/quad/line/S0.05m-0.4.png,,-0.37,,,24
3,-1,line,0.1,0.2,line,data/P3/line/line/S0.2m-0.1.png,,-0.12,,,25
3,-1,line,0.2,0.2,trig,data/P3/trig/line/S0.2m-0.2.png,,-0.15,,,26
3,1,line,0.1,0.2,line,data/P3/line/line/S0.2m0.1.png,,0.11,,,27
3,-1,line,0.8,0.2,quad,data/P3/quad/line/S0.2m-0.8.png,,-0.73,,,28
3,1,linetrend,0.4,0.2,trig,data/P3/trig/linetrend/S0.2m0.4.png,1,0.47,,,29
3,1,line,0.2,0.2,line,data/P3/line/line/S0.2m0.2.png,,0.17,,,30
3,1,line,0.4,0.2,trig,data/P3/trig/line/S0.2m0.4.png,,0.41,,,31
3,1,line,0.8,0.2,trig,data/P3/trig/line/S0.2m0.8.png,,0.85,,,32
3,-1,line,0.4,0.2,trig,data/P3/trig/line/S0.2m-0.4.png,,-0.44,,,33
3,-1,scatter,0.1,0.1,quad,data/P3/quad/scatter/S0.1m-0.1.png,,-0.24,,,34
3,-1,scatter,0.2,0.1,quad,data/P3/quad/scatter/S0.1m-0.2.png,,-0.28,,,35
3,1,scatter,0.1,0.1,trig,data/P3/trig/scatter/S0.1m0.1.png,,0.18,,,36
3,-1,scatter,0.8,0.1,trig,data/P3/trig/scatter/S0.1m-0.8.png,,-0.86,,,37
3,1,scatter,0.2,0.1,trig,data/P3/trig/scatter/S0.1m0.2.png,,0.18,,,38
3,1,scatter,0.4,0.1,quad,data/P3/quad/scatter/S0.1m0.4.png,,0.49,,,39
3,1,scatter,0.8,0.1,quad,data/P3/quad/scatter/S0.1m0.8.png,,0.86,,,40
3,-1,scatter,0.4,0.1,quad,data/P3/quad/scatter/S0.1m-0.4.png,,-0.4,,,41
3,-1,scatter,0.1,0.15,quad,data/P3/quad/scatter/S0.15m-0.1.png,,-0.01,,,42
3,-1,scatter,0.2,0.15,quad,data/P3/quad/scatter/S0.15m-0.2.png,,-0.19,,,43
3,1,scatter,0.1,0.15,trig,data/P3/trig/scatter/S0.15m0.1.png,,0.04,,,44
3,-1,scatter,0.8,0.15,line,data/P3/line/scatter/S0.15m-0.8.png,,-1,,,45
3,1,scatter,0.2,0.15,trig,data/P3/trig/scatter/S0.15m0.2.png,,0.32,,,46
3,1,scatter,0.4,0.15,quad,data/P3/quad/scatter/S0.15m0.4.png,,0.49,,,47
3,1,scatter,0.8,0.15,trig,data/P3/trig/scatter/S0.15m0.8.png,,1,,,48
3,-1,scatter,0.4,0.15,line,data/P3/line/scatter/S0.15m-0.4.png,,-0.09,,,49
